Name,RA (J2000),DEC (J2000),DM
J2337+48 ,23:38 ,+48:24 ,34
J2300+48 ,23:00 ,+48:24 ,63.3
J1900-0134 ,19:00 ,-01:34 ,188
J1825-01 ,18:25 ,-01:31 ,80
J1931-0144 ,19:31 ,-01:32 ,36
J1919+2623 ,19:19 ,+26:23 ,96.4
J0203-0150 ,02:03 ,-01:50 ,19.2
J0209+2621 ,02:09 ,+26:21 ,23.5
J1914+26 ,19:14 ,+26:24 ,59
J1926-0652 ,19:26 ,-06:49 ,85
J2323+1214 ,23:23 ,+12:08 ,22
J1945+1211 ,19:45 ,+12:11 ,95
J0402+48 ,04:02 ,+48:27 ,86
J1852-07 ,18:51 ,-06:34 ,228
J2301+48 ,23:01 ,+48:09 ,72
J1844+2135 ,18:44 ,+21:35 ,29.15
J0539+0013 ,05:39 ,+00:13 ,47
J2111+21 ,21:11 ,+21:32 ,78.6
J2025+2133 ,20:25 ,+21:33 ,70.75
J2236+49 ,22:36 ,+49:28 ,43
J2129+4115 ,21:29 ,+41:15 ,35.4
J2057+2133 ,20:57 ,+21:33 ,72.2
J0552+41 ,05:52 ,+41:11 ,37.9
J0529-0715 ,05:29 ,-07:11 ,80
J0753âˆ’0816 ,07:52 ,-08:20 ,32.7
J0021-09 ,00:21 ,-09:09 ,25
J0803-0937 ,08:03 ,-09:37 ,21.5
J0344-0901 ,03:44 ,-09:01 ,31
J2238+40 ,22:38 ,+40:38 ,74.1
J1020+40 ,10:20 ,+40:56 ,9.9
J0210+42 ,02:10 ,+42:38 ,49.7
J1637+00 ,16:37 ,+00:27 ,49.8
J0209+43 ,02:09 ,+43:32 ,57.7
J0540+45 ,05:40 ,+45:37 ,56.1
J0941+45 ,09:41 ,+45:42 ,17.6
J1502+4654 ,15:02 ,+46:54 ,27
J0427+47 ,04:27 ,+47:23 ,54
J2053+47 ,20:53 ,+47:21 ,331.3
J2112+4029 ,21:12 ,+41:05 ,132
J2006+41 ,20:06 ,+41:01 ,257
J1929+41 ,19:29 ,+41:01 ,37.9
J1618+39 ,16:18 ,+39:52 ,22.96
J1248+40 ,12:48 ,+40:50 ,25.4
J1243+39 ,12:43 ,+39:46 ,28.5
J1949+4722 ,19:49 ,+47:22 ,104.35
J1942+3934 ,19:42 ,+39:34 ,104.51
J1822+2625 ,18:22 ,+26:25 ,64.6
J1802+47 ,18:02 ,+47:21 ,30.9
J2108+41 ,21:08 ,+41:07 ,134
J0631+41 ,06:31 ,+41:42 ,24.5
J1827+00 ,18:27 ,+00:22 ,96
J1754+0032 ,17:54 ,+00:25 ,70
J2355+00 ,23:55 ,+00:49 ,11
J1929+01 ,19:29 ,+01:29 ,53
J1854-01 ,18:54 ,-01:54 ,590
J1809-05 ,18:09 ,-05:20 ,105
J1737-0514 ,17:37 ,-05:14 ,78
J1900+42 ,19:00 ,+42:21 ,72
J1858-02 ,18:58 ,-02:00 ,191
J1920-05 ,19:20 ,-05:14 ,101
J1720-05 ,17:20 ,-05:33 ,37.8
J1801-06 ,18:10 ,-06:15 ,159
J1853-06 ,18:53 ,-06:20 ,142
J2016+07 ,20:16 ,+07:00 ,65
J2032+07 ,20:32 ,+07:00 ,74
J2112+07 ,21:12 ,+07:40 ,24.9
J2307-05 ,23:07 ,-05:58 ,92.8
J2204+09 ,22:04 ,+09:45 ,18
J1142+3253 ,11:42 ,+32:53 ,15.6
J1437+30 ,14:37 ,+30:55 ,17.4
J0924+61 ,09:24 ,+61:02 ,21.8
J2205+6012 ,22:05 ,+60:14 ,157.75
J2032-12 ,20:32 ,-12:53 ,22.94
J1759-12 ,17:59 ,-12:47 ,95.9
J2238-12 ,22:38 ,-12:20 ,39.2
J1712-11 ,17:12 ,-11:24 ,69.3
J2003-09 ,20:03 ,-09:37 ,30.79
J1807-09 ,18:07 ,-09:41 ,230
J2000-1003 ,20:00 ,-10:03 ,33.748
J1938-09 ,19:38 ,-09:40 ,44.45
J1852-13 ,18:52 ,-13:10 ,44.81
J1905-13 ,19:05 ,-13:14 ,121.43
J2006-13 ,20:06 ,-13:12 ,25
J1813-08 ,18:13 ,-08:52 ,135
J1835-08 ,18:35 ,-08:46 ,862.08
J1807-08 ,18:07 ,-08:50 ,202.06
J1824-06 ,18:24 ,-06:22 ,131.08
J1916-05 ,19:16 ,-05:18 ,185.6
J1813-04 ,18:13 ,-04:02 ,71.26
J2230-03 ,22:30 ,-03:36 ,10.3
J2110-02 ,21:10 ,-02:42 ,57.491
J1837-02 ,18:37 ,-02:19 ,305.5
J1826-00 ,18:26 ,-00:49 ,42.6
J1846-00 ,18:46 ,-00:49 ,45.37
J1854-00 ,18:54 ,-00:37 ,491.2
J1908+01 ,19:08 ,+01:28 ,75
J2027+02 ,20:27 ,+02:55 ,51
J2016+07 ,20:16 ,+07:56 ,36.556
J1836+09 ,18:36 ,+09:15 ,36.66
J1934+09 ,19:34 ,+09:06 ,72.39
J1631+12 ,16:31 ,+12:52 ,72.39
J2319+20 ,23:19 ,20:49 ,22.1
J1854-05 ,18:54 ,-05:14 ,279.5
J1611-01 ,16:11 ,-01:13 ,19.5
J1604-02 ,16:04 ,-02:57 ,25.23
J2159+02 ,21:59 ,02:02 ,35
J1239+03 ,12:39 ,03:26 ,32.3
J1617+11 ,16:17 ,11:23 ,49.7
J1917+24 ,19:17 ,24:41 ,82
J2150+34 ,21:50 ,34:27 ,51.844
J0435+32 ,04:35 ,32:33 ,38.4
J2041+34 ,20:41 ,34:30 ,123.5
J0518+24 ,05:18 ,24:31 ,75.8
J1840+28 ,18:40 ,28:43 ,61.9
J1943+28 ,19:43 ,28:51 ,228.5
J2108+56 ,21:08 ,56:40 ,114
J2101-00 ,21:01 ,-00:33 ,34
J2042-06 ,20:42 ,-06:38 ,31.6
